experiment_id,parent_experiment_id,source_type,augmentation_id,damage_level,damage_class,stress_mpa,stress_class,num_samples,depth_min_cm,depth_max_cm,depth_step_mean_cm,torque_mean,torque_std,torque_min,torque_max,thrust_mean,thrust_std,thrust_min,thrust_max,missing_torque_count,missing_thrust_count,duplicate_depth_count,is_complete,source_file,source_sheet,split,flagged_points
D00_S40_AUG1,D00_S40,synthetic,1,0,0,40,4,1501,0.0,25.0,0.016666666666666666,101.11164253697534,22.794389341115348,55.242044,215.094163,4.390942505662891,0.14484215244481652,4.05709,4.82265,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D00_S40_AUG1.csv,,train,5
D00_S40_AUG2,D00_S40,synthetic,2,0,0,40,4,1501,0.0,25.0,0.016666666666666666,100.75782306262492,22.750367125040956,43.202126,180.814239,4.394700586275816,0.13838781897912855,4.069179,4.815287,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D00_S40_AUG2.csv,,train,0
D20_S00,D20_S00,original,0,20,1,0,0,1501,0.0,25.0,0.016666666666666666,39.64100406395736,22.836582002120853,20.8156,122.1611,2.2267884410393073,0.13608430258128484,2.04538,2.88332,0,0,0,True,受载20%损伤煤体钻进参数—扭矩.xlsx; 受载20%损伤煤体钻进参数—推力.xlsx,曲线数据_1501点,val,24
D20_S00_AUG1,D20_S00,synthetic,1,20,1,0,0,1501,0.0,25.0,0.016666666666666666,39.732690167221854,18.013111702137056,14.121486,108.910721,2.230804570952698,0.10560944211259299,1.976798,2.668389,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D20_S00_AUG1.csv,,train,0
D20_S00_AUG2,D20_S00,synthetic,2,20,1,0,0,1501,0.0,25.0,0.016666666666666666,39.569942591605596,17.19937291740469,17.056761,113.933677,2.2270370886075948,0.11485538310190839,1.90558,2.694782,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D20_S00_AUG2.csv,,train,9
D20_S10,D20_S10,original,0,20,1,10,1,1501,0.0,25.0,0.016666666666666666,48.260734710193205,32.4697161685285,18.5147,178.4719,2.5325654297135247,0.21701706749815455,2.19854,3.59241,0,0,0,True,受载20%损伤煤体钻进参数—扭矩.xlsx; 受载20%损伤煤体钻进参数—推力.xlsx,曲线数据_1501点,val,6
D20_S10_AUG1,D20_S10,synthetic,1,20,1,10,1,1501,0.0,25.0,0.016666666666666666,47.622611141239176,24.40167992587476,0.333971,151.005851,2.526574897401732,0.1614295723388091,2.147969,3.110546,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D20_S10_AUG1.csv,,train,3
D20_S10_AUG2,D20_S10,synthetic,2,20,1,10,1,1501,0.0,25.0,0.016666666666666666,49.52722914723518,25.642678448073788,11.531467,169.051343,2.5478927641572287,0.15656608468317038,2.204255,3.135777,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D20_S10_AUG2.csv,,train,1
D20_S20,D20_S20,original,0,20,1,20,2,1501,0.0,25.0,0.016666666666666666,39.897434243837445,11.466927056579715,29.0684,108.3567,2.8242305396402396,0.2809711352812633,2.39976,3.91472,0,0,0,True,受载20%损伤煤体钻进参数—扭矩.xlsx; 受载20%损伤煤体钻进参数—推力.xlsx,曲线数据_1501点,val,87
D20_S20_AUG1,D20_S20,synthetic,1,20,1,20,2,1501,0.0,25.0,0.016666666666666666,39.79952330846103,7.587278805871307,27.543197,79.254054,2.8435732145236505,0.2442121660177654,2.399355,3.702698,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D20_S20_AUG1.csv,,train,104
D20_S20_AUG2,D20_S20,synthetic,2,20,1,20,2,1501,0.0,25.0,0.016666666666666666,39.46590520852765,8.865625844667022,20.116937,107.494984,2.824444848101266,0.24585093930643334,2.245429,3.804804,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D20_S20_AUG2.csv,,train,82
D20_S30,D20_S30,original,0,20,1,30,3,1501,0.0,25.0,0.016666666666666666,51.725105196535644,11.158559607253961,34.2527,99.9824,3.4360805263157896,0.25009067952176095,2.91891,4.66224,0,0,0,True,受载20%损伤煤体钻进参数—扭矩.xlsx; 受载20%损伤煤体钻进参数—推力.xlsx,曲线数据_1501点,val,60
D20_S30_AUG1,D20_S30,synthetic,1,20,1,30,3,1501,0.0,25.0,0.016666666666666666,52.41443598867422,8.657025271353351,31.838092,103.8471,3.4450277068620916,0.2092800522677703,2.88848,4.815677,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D20_S30_AUG1.csv,,train,15
D20_S30_AUG2,D20_S30,synthetic,2,20,1,30,3,1501,0.0,25.0,0.016666666666666666,51.656690748834116,8.57169900208066,20.242935,98.380217,3.439196034643571,0.20182092955806838,2.87945,4.318605,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D20_S30_AUG2.csv,,train,5
D20_S40,D20_S40,original,0,20,1,40,4,1501,0.0,25.0,0.016666666666666666,90.64454497002,20.749380069158605,45.1255,164.3142,4.353777914723518,0.3217623016422455,3.84282,5.4312,0,0,0,True,受载20%损伤煤体钻进参数—扭矩.xlsx; 受载20%损伤煤体钻进参数—推力.xlsx,曲线数据_1501点,val,0
D20_S40_AUG1,D20_S40,synthetic,1,20,1,40,4,1501,0.0,25.0,0.016666666666666666,90.71587151698867,17.4106183357181,53.032715,162.365115,4.342681961359094,0.2761800432403927,3.795133,5.446965,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D20_S40_AUG1.csv,,train,1
D20_S40_AUG2,D20_S40,synthetic,2,20,1,40,4,1501,0.0,25.0,0.016666666666666666,90.5160551838774,18.242909181322464,47.379184,181.270181,4.347005330446369,0.2744546450144165,3.792806,5.549696,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D20_S40_AUG2.csv,,train,9
D40_S00,D40_S00,original,0,40,2,0,0,1501,0.0,25.0,0.016666666666666666,30.141483011325786,17.683615132636515,20.0,103.205,1.9133764956695534,0.15061671714071057,1.71043,2.49618,0,0,0,True,受载40%损伤煤体钻进参数—扭矩.xlsx; 受载40%损伤煤体钻进参数—推力.xlsx,曲线数据_1501点,val,108
D40_S00_AUG1,D40_S00,synthetic,1,40,2,0,0,1501,0.0,25.0,0.016666666666666666,30.40377756029314,15.432116849277444,10.598803,99.098515,1.9080817188540973,0.12050790309955431,1.726846,2.345903,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D40_S00_AUG1.csv,,train,133
D40_S00_AUG2,D40_S00,synthetic,2,40,2,0,0,1501,0.0,25.0,0.016666666666666666,29.975909999333776,16.511434033552764,10.598803,103.466544,1.917409736842105,0.1340131849980169,1.689689,2.450873,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D40_S00_AUG2.csv,,train,135
D40_S10,D40_S10,original,0,40,2,10,1,1501,0.0,25.0,0.016666666666666666,39.79020386409061,31.651400806805984,17.14,146.411,2.101076069287142,0.2007033557690035,1.77155,2.90057,0,0,0,True,受载40%损伤煤体钻进参数—扭矩.xlsx; 受载40%损伤煤体钻进参数—推力.xlsx,曲线数据_1501点,val,33
D40_S10_AUG1,D40_S10,synthetic,1,40,2,10,1,1501,0.0,25.0,0.016666666666666666,41.576991704863424,25.143325940989104,1.041007,144.825917,2.0965006242504995,0.15021411007101404,1.789371,2.66268,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D40_S10_AUG1.csv,,train,0
D40_S10_AUG2,D40_S10,synthetic,2,40,2,10,1,1501,0.0,25.0,0.016666666666666666,41.618461894736846,23.84102803917828,0.0,131.43722,2.1013658947368423,0.15267758332456313,1.790255,2.760917,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D40_S10_AUG2.csv,,train,0
D40_S20,D40_S20,original,0,40,2,20,2,1501,0.0,25.0,0.016666666666666666,50.60205129913391,25.565394424717304,26.411,143.479,2.603632105263158,0.21784418226666413,2.13209,3.3307,0,0,0,True,受载40%损伤煤体钻进参数—扭矩.xlsx; 受载40%损伤煤体钻进参数—推力.xlsx,曲线数据_1501点,val,114
D40_S20_AUG1,D40_S20,synthetic,1,40,2,20,2,1501,0.0,25.0,0.016666666666666666,51.020469293804126,19.317318791770074,23.547428,133.284921,2.5990001745502997,0.1850580019763286,2.108307,3.060604,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D40_S20_AUG1.csv,,train,9
D40_S20_AUG2,D40_S20,synthetic,2,40,2,20,2,1501,0.0,25.0,0.016666666666666666,50.79887061758828,20.331682972648736,11.724214,127.765352,2.6092797281812126,0.1925479629313505,2.131984,3.123021,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D40_S20_AUG2.csv,,train,24
D40_S30,D40_S30,original,0,40,2,30,3,1501,0.0,25.0,0.016666666666666666,51.502736175882745,10.573991396425654,42.663,111.665,3.287489007328448,0.3063285907324801,2.82249,4.77131,0,0,0,True,受载40%损伤煤体钻进参数—扭矩.xlsx; 受载40%损伤煤体钻进参数—推力.xlsx,曲线数据_1501点,val,88
D40_S30_AUG1,D40_S30,synthetic,1,40,2,30,3,1501,0.0,25.0,0.016666666666666666,51.445743723517666,7.032688102708997,40.581197,85.769562,3.275349180546302,0.24459150650438385,2.865353,4.179217,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D40_S30_AUG1.csv,,train,8
D40_S30_AUG2,D40_S30,synthetic,2,40,2,30,3,1501,0.0,25.0,0.016666666666666666,51.83113588874084,7.414378646748744,36.183968,90.423698,3.2878253737508323,0.2577960735737679,2.77052,4.300646,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D40_S30_AUG2.csv,,train,11
D40_S40,D40_S40,original,0,40,2,40,4,1501,0.0,25.0,0.016666666666666666,84.68643904063957,22.009519899408257,54.365,175.228,4.1743196135909395,0.6846567010829958,3.00462,6.30941,0,0,0,True,受载40%损伤煤体钻进参数—扭矩.xlsx; 受载40%损伤煤体钻进参数—推力.xlsx,曲线数据_1501点,val,20
D40_S40_AUG1,D40_S40,synthetic,1,40,2,40,4,1501,0.0,25.0,0.016666666666666666,84.98101597201864,21.178506014397154,53.945747,175.495561,4.147982701532312,0.6503814847384471,3.020974,5.877127,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D40_S40_AUG1.csv,,train,15
D40_S40_AUG2,D40_S40,synthetic,2,40,2,40,4,1501,0.0,25.0,0.016666666666666666,84.41942389673551,20.43785472061678,54.466612,161.374375,4.182817625582945,0.6442287066398161,2.90431,5.735536,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D40_S40_AUG2.csv,,train,2
D60_S00,D60_S00,original,0,60,3,0,0,1501,0.0,25.0,0.016666666666666666,28.881296030903826,4.612461119767161,23.821253154055725,68.33410069961764,1.69675336184947,0.09972678526210416,1.5864285714285715,2.12744,0,0,0,True,受载60%损伤煤体钻进参数—扭矩.xlsx; 受载60%损伤煤体钻进参数—推力.xlsx,曲线数据_1501点,val,105
D60_S00_AUG1,D60_S00,synthetic,1,60,3,0,0,1501,0.0,25.0,0.016666666666666666,28.86703378281146,2.6284600582492086,24.450879,45.699715,1.6899037754830113,0.07903236945064698,1.592969,2.08164,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D60_S00_AUG1.csv,,train,24
D60_S00_AUG2,D60_S00,synthetic,2,60,3,0,0,1501,0.0,25.0,0.016666666666666666,28.7070057308461,3.03858577485433,21.103347,51.160864,1.6982883477681543,0.08786771647326248,1.58631,2.148109,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D60_S00_AUG2.csv,,train,24
D60_S10,D60_S10,original,0,60,3,10,1,1501,0.0,25.0,0.016666666666666666,33.64086872126402,30.636749836396003,16.302087542087513,145.95986531986534,1.8926272599219567,0.10080565640011599,1.7042857142857142,2.4035714285714285,0,0,0,True,受载60%损伤煤体钻进参数—扭矩.xlsx; 受载60%损伤煤体钻进参数—推力.xlsx,曲线数据_1501点,val,253
D60_S10_AUG1,D60_S10,synthetic,1,60,3,10,1,1501,0.0,25.0,0.016666666666666666,33.88122023917389,23.562533978397084,9.698022,129.556102,1.8958270772818124,0.08488211291617347,1.698443,2.187721,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D60_S10_AUG1.csv,,train,105
D60_S10_AUG2,D60_S10,synthetic,2,60,3,10,1,1501,0.0,25.0,0.016666666666666666,33.619940592271824,23.59755061367965,15.494005,128.165846,1.8906929053964026,0.0864000107644614,1.675928,2.248067,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D60_S10_AUG2.csv,,train,92
D60_S20,D60_S20,original,0,60,3,20,2,1501,0.0,25.0,0.016666666666666666,48.26176483915326,26.203316764602825,24.851582491582143,147.08949494949496,2.292439206084832,0.12802246665591885,2.05,2.863779999999994,0,0,0,True,受载60%损伤煤体钻进参数—扭矩.xlsx; 受载60%损伤煤体钻进参数—推力.xlsx,曲线数据_1501点,val,10
D60_S20_AUG1,D60_S20,synthetic,1,60,3,20,2,1501,0.0,25.0,0.016666666666666666,48.313183564290476,21.86155006681811,0.539562,143.16514,2.2901503337774813,0.11107295875387425,2.038941,2.67827,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D60_S20_AUG1.csv,,train,15
D60_S20_AUG2,D60_S20,synthetic,2,60,3,20,2,1501,0.0,25.0,0.016666666666666666,48.500127327781485,19.30232144307482,16.043613,129.052351,2.2948083944037307,0.11392991796108844,2.036904,2.633272,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D60_S20_AUG2.csv,,train,12
D60_S30,D60_S30,original,0,60,3,30,3,1501,0.0,25.0,0.016666666666666666,52.54408797685535,22.26192696481171,31.144781144781145,115.0697643097643,2.8406646346879865,0.18338977505413093,2.5528571428571425,4.001745714285715,0,0,0,True,受载60%损伤煤体钻进参数—扭矩.xlsx; 受载60%损伤煤体钻进参数—推力.xlsx,曲线数据_1501点,val,18
D60_S30_AUG1,D60_S30,synthetic,1,60,3,30,3,1501,0.0,25.0,0.016666666666666666,52.11082691072618,19.11530061282488,9.402701,117.041948,2.838787231179214,0.14050917642563843,2.557798,3.431605,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D60_S30_AUG1.csv,,train,0
D60_S30_AUG2,D60_S30,synthetic,2,60,3,30,3,1501,0.0,25.0,0.016666666666666666,52.323854364423724,17.70715323606448,21.291351,106.440925,2.8412405423051297,0.13801763124166072,2.514973,3.485976,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D60_S30_AUG2.csv,,train,1
D60_S40,D60_S40,original,0,60,3,40,4,1501,0.0,25.0,0.016666666666666666,90.30764989445869,29.31120235332138,52.458585858585856,175.38451178451186,3.5814476666349417,0.274076435044983,3.023657142857143,4.487201904761904,0,0,0,True,受载60%损伤煤体钻进参数—扭矩.xlsx; 受载60%损伤煤体钻进参数—推力.xlsx,曲线数据_1501点,val,0
D60_S40_AUG1,D60_S40,synthetic,1,60,3,40,4,1501,0.0,25.0,0.016666666666666666,90.09912497534975,27.1977745862136,53.790747,169.670285,3.5859333251165886,0.22996877886865041,3.028892,4.299181,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D60_S40_AUG1.csv,,train,0
D60_S40_AUG2,D60_S40,synthetic,2,60,3,40,4,1501,0.0,25.0,0.016666666666666666,88.91061817188542,27.559215757001436,34.67256,165.830711,3.578274678214524,0.24182418226443161,2.791959,4.30509,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D60_S40_AUG2.csv,,train,0
D80_S00,D80_S00,original,0,80,4,0,0,1501,0.0,25.0,0.016666666666666666,16.511369287141907,11.158364701948464,5.0,90.6477,1.53330791272485,0.07546724958250242,1.442953,1.886829,0,0,0,True,受载80%损伤煤体钻进参数—扭矩.xlsx; 受载80%损伤煤体钻进参数—推力.xlsx,曲线数据_1501点,val,113
D80_S00_AUG1,D80_S00,synthetic,1,80,4,0,0,1501,0.0,25.0,0.016666666666666666,16.794465662891408,6.588942975174665,0.0,71.167354,1.5320950866089273,0.06071184635982635,1.392859,1.87079,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D80_S00_AUG1.csv,,train,74
D80_S00_AUG2,D80_S00,synthetic,2,80,4,0,0,1501,0.0,25.0,0.016666666666666666,16.16813714590273,5.661492389225333,4.499125,56.951653,1.5333006642238507,0.06400461770326038,1.434145,1.870249,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D80_S00_AUG2.csv,,train,129
D80_S10,D80_S10,original,0,80,4,10,1,1501,0.0,25.0,0.016666666666666666,23.000805063291143,16.14374415054619,8.0,97.3345,1.7484870659560294,0.10323026967055891,1.53319,2.226105,0,0,0,True,受载80%损伤煤体钻进参数—扭矩.xlsx; 受载80%损伤煤体钻进参数—推力.xlsx,曲线数据_1501点,val,130
D80_S10_AUG1,D80_S10,synthetic,1,80,4,10,1,1501,0.0,25.0,0.016666666666666666,22.789993294470353,11.451805364308443,4.4156,94.478,1.7400716475682878,0.07952306129534402,1.517844,1.970218,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D80_S10_AUG1.csv,,train,120
D80_S10_AUG2,D80_S10,synthetic,2,80,4,10,1,1501,0.0,25.0,0.016666666666666666,22.719836005329785,10.367225701157286,0.0,89.081824,1.7485464097268488,0.08902073148293423,1.495202,2.120922,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D80_S10_AUG2.csv,,train,76
D80_S20,D80_S20,original,0,80,4,20,2,1501,0.0,25.0,0.016666666666666666,31.310206062624914,27.227330375189986,7.6014,125.0,2.2439327035309793,0.1534379663654405,1.978362,2.831795,0,0,0,True,受载80%损伤煤体钻进参数—扭矩.xlsx; 受载80%损伤煤体钻进参数—推力.xlsx,曲线数据_1501点,val,91
D80_S20_AUG1,D80_S20,synthetic,1,80,4,20,2,1501,0.0,25.0,0.016666666666666666,30.981444500999334,19.583037733035553,0.0,141.721109,2.2406097781479013,0.13146634250794162,1.903328,2.704149,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D80_S20_AUG1.csv,,train,7
D80_S20_AUG2,D80_S20,synthetic,2,80,4,20,2,1501,0.0,25.0,0.016666666666666666,30.781483751499,18.523197295953132,0.0,134.841831,2.2398506315789475,0.1291579405837965,1.972252,2.729198,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D80_S20_AUG2.csv,,train,4
D80_S30,D80_S30,original,0,80,4,30,3,1501,0.0,25.0,0.016666666666666666,51.13370586275816,30.64505942090947,14.3581,130.9122,2.774424580946036,0.25083474858662014,2.339134,4.020541,0,0,0,True,受载80%损伤煤体钻进参数—扭矩.xlsx; 受载80%损伤煤体钻进参数—推力.xlsx,曲线数据_1501点,val,60
D80_S30_AUG1,D80_S30,synthetic,1,80,4,30,3,1501,0.0,25.0,0.016666666666666666,51.16178536775483,27.753105600729665,1.136726,128.564442,2.7703833910726186,0.19924335728898876,2.399904,3.667654,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D80_S30_AUG1.csv,,train,8
D80_S30_AUG2,D80_S30,synthetic,2,80,4,30,3,1501,0.0,25.0,0.016666666666666666,50.74413931379081,28.574424563849387,0.0,131.145582,2.776375111259161,0.19888300899839653,2.395924,3.865371,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D80_S30_AUG2.csv,,train,6
D80_S40,D80_S40,original,0,80,4,40,4,1501,0.0,25.0,0.016666666666666666,63.42393217854763,15.533343236537238,30.4054,123.3108,3.3582349040639574,0.26552572858827844,2.831131,4.171636,0,0,0,True,受载80%损伤煤体钻进参数—扭矩.xlsx; 受载80%损伤煤体钻进参数—推力.xlsx,曲线数据_1501点,val,0
D80_S40_AUG1,D80_S40,synthetic,1,80,4,40,4,1501,0.0,25.0,0.016666666666666666,63.67813961025982,12.932431872188587,36.506033,115.639093,3.34626225649567,0.23566807891027336,2.728072,4.004989,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D80_S40_AUG1.csv,,train,0
D80_S40_AUG2,D80_S40,synthetic,2,80,4,40,4,1501,0.0,25.0,0.016666666666666666,62.15840837041973,11.427190132411349,32.232232,102.839866,3.3592495556295803,0.24607186546286108,2.921288,4.223161,0,0,0,True,processed_dataset\augmented_dataset_25classes_2batches\synthetic_by_experiment\D80_S40_AUG2.csv,,train,0
